10;Moda Feminina
11;Moda Masculina
12;Moda Infantil
13;Moda Jovem
14;Moda Intima
15;Jeans
16;Acessórios
17;Brinquedos
18;Informática/Eletronica
19;Artesanato/Decoração
20;Embalagens
